URL,Anchor
https://www.origamihouse.jp/index.html,"<img src=""../../image/origamihouse_ss.gif"" alt=""おりがみはうす"" width=""154"" height=""43"">"
https://www.origamihouse.jp/book/index.html,BOOK
https://www.origamihouse.jp/paper/index.html,"<span	class = ""menu_font_s2"">OTHER<br>PRODUCTS</span>"
https://www.origamihouse.jp/informations/index.html,informations
https://www.origamihouse.jp/works/index.html,WORKS
https://www.origamihouse.jp/gallery/gallery.html,GALLERY
https://www.origamihouse.jp/about/index.html,ABOUT...
https://www.origamihouse.jp/contact/index.html,CONTACT
https://www.origamihouse.jp/link/kokunai.html,LINK
https://www.origamihouse.jp/book/original/house.html,"おりがみはうすの本<br><span class= ""menu_sub_e"">Origamihouse Book</span>"
https://www.origamihouse.jp/book/yamaguchi/yamaguchi.html,"山口 真の本(一般書籍)<br><span class= ""menu_sub_e"">Makoto Yamaguchi</span>"
https://www.origamihouse.jp/book/etc/etc.html,"その他書籍<br><span class= ""menu_sub_e"">Others</span>"
https://www.origamihouse.jp/book/zeppan/zeppan.html,"絶版<br><span class= ""menu_sub_e"">Out of print</span>"
https://www.origamihouse.jp/app_ebook/index.html,"電子書籍<br><span class= ""menu_sub_e"">E-BOOK</span>"
https://www.origamihouse.jp/book/original/orizusyu18/orizusyu_18.html,"<img src=""orizusyu18/orizusyu_18_s.png"" width=""60"" height=""88"" alt=""orizusyu18"" >"
https://www.origamihouse.jp/book/original/orizusyu18/orizusyu_18.html,"<span class=""manupage_booktitle"">折紙探偵団折り図集 Vol.18</span><br>
Origami Tanteidan Convention book Vol.18"
http://origami.gr.jp/,日本折紙学会
http://origami.gr.jp/,JOAS (Japan Origami Academic Society)
https://www.origamihouse.jp/book/original/orizusyu19/orizusyu_19.html,"<img src=""orizusyu19/orizusyu_19_s.png"" width=""60"" height=""88"" alt=""orizusyu19"" >"
https://www.origamihouse.jp/book/original/orizusyu19/orizusyu_19.html,"<span class=""manupage_booktitle"">折紙探偵団折り図集 Vol.19</span><br>
Origami Tanteidan Convention book Vol.19"
http://origami.gr.jp/,日本折紙学会
http://origami.gr.jp/,JOAS (Japan Origami Academic Society)
https://www.origamihouse.jp/book/original/orizusyu20/orizusyu_20.html,"<img src=""orizusyu20/orizusyu_20_s.png"" width=""60"" height=""88"" alt=""orizusyu20"" >"
https://www.origamihouse.jp/book/original/orizusyu20/orizusyu_20.html,"<span class=""manupage_booktitle"">折紙探偵団折り図集 Vol.20</span><br>
Origami Tanteidan Convention book Vol.20"
http://origami.gr.jp/,日本折紙学会
http://origami.gr.jp/,JOAS (Japan Origami Academic Society)
https://www.origamihouse.jp/book/original/orizusyu21/orizusyu_21.html,"<img src=""orizusyu21/orizusyu_21_s.png"" width=""60"" height=""88"" alt=""orizusyu21"" >"
https://www.origamihouse.jp/book/original/orizusyu21/orizusyu_21.html,"<span class=""manupage_booktitle"">折紙探偵団折り図集 Vol.21</span><br>
Origami Tanteidan Convention book Vol.21"
http://origami.gr.jp/,日本折紙学会
http://origami.gr.jp/,JOAS (Japan Origami Academic Society)
https://www.origamihouse.jp/book/original/orizusyu22/orizusyu_22.html,"<img src=""orizusyu22/orizusyu_22_s.png"" width=""60"" height=""88"" alt=""orizusyu22"" >"
https://www.origamihouse.jp/book/original/orizusyu22/orizusyu_22.html,"<span class=""manupage_booktitle"">折紙探偵団折り図集 Vol.22</span><br>
Origami Tanteidan Convention book Vol.22"
http://origami.gr.jp/,日本折紙学会
http://origami.gr.jp/,JOAS (Japan Origami Academic Society)
https://www.origamihouse.jp/book/original/orizusyu23/orizusyu_23.html,"<img src=""orizusyu23/orizusyu_23_s.png"" width=""60"" height=""88"" alt=""orizusyu23"" >"
https://www.origamihouse.jp/book/original/orizusyu23/orizusyu_23.html,"<span class=""manupage_booktitle"">折紙探偵団折り図集 Vol.23</span><br>
Origami Tanteidan Convention book Vol.23"
